"id","name","description"
"incoterm_02031190","02031190","Svježi ili rashlađeni trupovi i polovice od ostalih svinja, osim domaćih"
"incoterm_02031211","02031211","Svježe ili rashlađene šunke i komadi šunke od domaćih svinja, s kostima"
"incoterm_02031219","02031219","Svježe ili rashlađene plećke i komadi plećke od domaćih svinja, s kostima"
"incoterm_02031290","02031290","Svježe ili rashlađene šunke, plećke i komadi od njih, s kostima, od ostalih svinja, osim domaćih"
"incoterm_02031911","02031911","Svježi ili rashlađeni prednji dijelovi i komadi od njih, od domaćih svinja"
"incoterm_02031913","02031913","Svježa ili rashlađena leđa i komadi od njih, od domaćih svinja"
"incoterm_02031915","02031915","Svježa ili rashlađena prsa, s potrbušinom (potrbušina) i komadi od njih, od domaćih svinja"
"incoterm_02031955","02031955","Svježe ili rashlađeno meso, bez kostiju, od domaćih svinja (osim prsa s potrbušinom i komada od njih)"
"incoterm_02031959","02031959","Svježe ili rashlađeno meso, bez kostiju, od domaćih svinja (osim trupova i polovica, šunke, plećki i komada od njih, prednjih dijelova, leđa, prsa s potrbušinom i komada od njih)"
"incoterm_02031990","02031990","Svježe ili rashlađeno meso od ostalih svinja, osim domaćih (osim trupova i polovica, šunke, plećki i komada od njih, bez kostiju)"
"incoterm_02032110","02032110","Smrznuti trupovi i polovice od domaćih svinja"
"incoterm_02032190","02032190","Smrznuti trupovi i polovice od ostalih svinja, osim domaćih"
"incoterm_02032211","02032211","Smrznute šunke i komadi šunke, od domaćih svinja, bez kostiju"
"incoterm_02032219","02032219","Smrznute plećke i komadi plećke, od domaćih svinja, bez kostiju"
"incoterm_02032290","02032290","Smrznute šunke, plećke i komadi od njih, bez kostiju, od ostalih svinja, osim domaćih"
"incoterm_02032911","02032911","Smrznuti prednji dijelovi i komadi od njih, od domaćih svinja"
"incoterm_02032913","02032913","Smrznuta leđa i komadi od njih, od domaćih svinja, s kostima"
"incoterm_02032915","02032915","Smrznuta prsa s potrbušinom (potrbušina) i komadi od njih, od domaćih svinja"
"incoterm_02032955","02032955","Smrznuto meso od domaćih svinja, bez kostiju (osim prsa s potrbušinom i komada od njih)"
"incoterm_02032959","02032959","Smrznuto meso od domaćih svinja, bez kostiju (osim trupova i polovica, šunke, plećki i komada od njih i prednjih dijelova, leđa, prsa s potrbušinom i komada od njih)"
"incoterm_02032990","02032990","Smrznuto meso od ostalih svinja, osim domaćih (osim trupova i polovica, šunke, plećki i komada od njih)"
"incoterm_02041000","02041000","Svježi ili rashlađeni janjeći trupovi i polovice"
"incoterm_02042100","02042100","Svježi ili rashlađeni ovčji trupovi i polovice (osim janjećih)"
"incoterm_02042210","02042210","Svježe ili rashlađene ovčje skraćene prednje četvrtine"
"incoterm_02042230","02042230","Svježe ili rashlađene ovčje slabine i/ili podslabine"
"incoterm_02042250","02042250","Svježe ili rashlađene ovčje noge"
"incoterm_02042290","02042290","Svježi ili rashlađeni komadi ovčetine, s kostima (osim trupova i polovica, skraćenih prednjih četvrtina, slabina i/ili podslabina i nogu)"
"incoterm_02042300","02042300","Svježi ili rashlađeni komadi ovčetine, bez kostiju"
"incoterm_02043000","02043000","Smrznuti janjeći trupovi i polovice"
"incoterm_02044100","02044100","Smrznuti ovčji trupovi i polovice (osim janjećih)"
"incoterm_02044210","02044210","Smrznute ovčje skraćene prednje četvrtine"
"incoterm_02044230","02044230","Smrznute ovčje slabine i/ili podslabine"
"incoterm_02044250","02044250","Smrznute ovčje noge"
"incoterm_02044290","02044290","Smrznuti komadi ovčetine, s kostima (osim trupova i polovica, skraćenih prednjih četvrtina, slabina i/ili podslabina i nogu)"
"incoterm_02044310","02044310","Smrznuti komadi janjetine, bez kostiju"
"incoterm_02044390","02044390","Smrznuti komadi ovčetine, bez kostiju (osim janjetine)"
"incoterm_02045011","02045011","Svježi ili rashlađeni kozji trupovi i polovice"
